W0-000-001,1,Sample Description,Category 1,Model 01,Type 1,2022,XXX-YYY-001,1/1/23,1/1/24,Manufacturer 01,6,4
W0-000-002,2,Sample Description,Category 2,Model 02,Type 2,2022,XXX-YYY-002,1/2/23,1/2/24,Manufacturer 02,7,35
W0-000-003,3,Sample Description,Category 3,Model 03,Type 3,2022,XXX-YYY-003,1/3/23,1/3/24,Manufacturer 03,6,10
W0-000-004,4,Sample Description,Category 4,Model 04,Type 4,2022,XXX-YYY-004,1/4/23,1/4/24,Manufacturer 04,73,82
W0-000-005,5,Sample Description,Category 5,Model 05,Type 5,2022,XXX-YYY-005,1/5/23,1/5/24,Manufacturer 05,90,99
W0-000-006,6,Sample Description,Category 6,Model 06,Type 6,2022,XXX-YYY-006,1/6/23,1/6/24,Manufacturer 06,64,65
W0-000-007,7,Sample Description,Category 7,Model 07,Type 7,2022,XXX-YYY-007,1/7/23,1/7/24,Manufacturer 07,46,16
W0-000-008,8,Sample Description,Category 8,Model 08,Type 8,2022,XXX-YYY-008,1/8/23,1/8/24,Manufacturer 08,4,17
W0-000-009,9,Sample Description,Category 9,Model 09,Type 9,2022,XXX-YYY-009,1/9/23,1/9/24,Manufacturer 09,1,80
W0-000-010,10,Sample Description,Category 10,Model 10,Type 10,2022,XXX-YYY-010,1/10/23,1/10/24,Manufacturer 10,21,0
W0-000-011,11,Sample Description,Category 11,Model 11,Type 11,2022,XXX-YYY-011,1/11/23,1/11/24,Manufacturer 11,5,7
W0-000-012,12,Sample Description,Category 12,Model 12,Type 12,2022,XXX-YYY-012,1/12/23,1/12/24,Manufacturer 12,17,2
W0-000-013,13,Sample Description,Category 13,Model 13,Type 13,2022,XXX-YYY-013,1/13/23,1/13/24,Manufacturer 13,69,73
W0-000-014,14,Sample Description,Category 14,Model 14,Type 14,2022,XXX-YYY-014,1/14/23,1/14/24,Manufacturer 14,58,29
W0-000-015,15,Sample Description,Category 15,Model 15,Type 15,2022,XXX-YYY-015,1/15/23,1/15/24,Manufacturer 15,60,99
W0-000-016,16,Sample Description,Category 16,Model 16,Type 16,2022,XXX-YYY-016,1/16/23,1/16/24,Manufacturer 16,72,48
W0-000-017,17,Sample Description,Category 17,Model 17,Type 17,2022,XXX-YYY-017,1/17/23,1/17/24,Manufacturer 17,19,33
W0-000-018,18,Sample Description,Category 18,Model 18,Type 18,2022,XXX-YYY-018,1/18/23,1/18/24,Manufacturer 18,29,96
W0-000-019,19,Sample Description,Category 19,Model 19,Type 19,2022,XXX-YYY-019,1/19/23,1/19/24,Manufacturer 19,9,70
W0-000-020,20,Sample Description,Category 20,Model 20,Type 20,2022,XXX-YYY-020,1/20/23,1/20/24,Manufacturer 20,33,55
