1/1/22,Sample Review 1,Sample Review Content 1,3,CXXX0001
1/2/22,Sample Review 2,Sample Review Content 2,4,CXXX0002
1/3/22,Sample Review 3,Sample Review Content 3,3,CXXX0003
1/4/22,Sample Review 4,Sample Review Content 4,3,CXXX0004
1/5/22,Sample Review 5,Sample Review Content 5,2,CXXX0005
1/6/22,Sample Review 6,Sample Review Content 6,4,CXXX0006
1/7/22,Sample Review 7,Sample Review Content 7,0,CXXX0007
1/8/22,Sample Review 8,Sample Review Content 8,4,CXXX0008
1/9/22,Sample Review 9,Sample Review Content 9,2,CXXX0009
1/10/22,Sample Review 10,Sample Review Content 10,2,CXXX0010
1/11/22,Sample Review 11,Sample Review Content 11,3,CXXX0011
1/12/22,Sample Review 12,Sample Review Content 12,5,CXXX0012
1/13/22,Sample Review 13,Sample Review Content 13,4,CXXX0013
1/14/22,Sample Review 14,Sample Review Content 14,1,CXXX0014
1/15/22,Sample Review 15,Sample Review Content 15,5,CXXX0015
1/16/22,Sample Review 16,Sample Review Content 16,4,CXXX0016
1/17/22,Sample Review 17,Sample Review Content 17,5,CXXX0017
1/18/22,Sample Review 18,Sample Review Content 18,1,CXXX0018
1/19/22,Sample Review 19,Sample Review Content 19,3,CXXX0019
1/20/22,Sample Review 20,Sample Review Content 20,2,CXXX0020
